patient,auc,auc_pr,prev
chb01,0.6074141885376215,0.2990560941431903,0.2220555138784696
chb02,0.44966315873395524,0.4640394943938718,0.46614173228346456
chb03,0.4020909118239485,0.2818657465929249,0.33060312732688013
chb04,0.3423869654957551,0.073263110989351,0.09635416666666667
chb05,0.532320980774589,0.4643695035996066,0.4327485380116959
chb06,0.438214217659185,0.11809466582733721,0.13437864455099133
chb07,0.5471846887532064,0.16253675733536388,0.1517217865666553
chb08,0.5660120826869474,0.602576019011098,0.5807210031347962
chb09,0.5319106085018233,0.22392440994256652,0.20970598653914277
chb10,0.6632441553244949,0.30417485254163,0.22481012658227847
chb13,0.5734895402266047,0.44449919471854915,0.3191948238677211
chb14,0.5533947169470679,0.5685029442601738,0.5297741273100616
chb15,0.4950656218144751,0.13178940798437855,0.14022787028921999
chb16,0.41730626465034987,0.35672773007341263,0.41309523809523807
chb17,0.554564329954955,0.5751378349827321,0.5362318840579711
chb18,0.4512865870162008,0.43676102185279975,0.458559256390395
chb19,0.466778093883357,0.3570528670712581,0.383916990920882
chb20,0.6280083323221292,0.5216573086716847,0.40773480662983425
chb22,0.41433538801959857,0.31814321154833103,0.3658838071693449
chb23,0.4959548042501333,0.30112640748661834,0.3055276381909548
chb24,0.5065029760775475,0.3520855103506723,0.3579870377430423
