patient,auc,auc_pr,prev
chb01,0.5069489692199431,0.23766485244075386,0.2220555138784696
chb02,0.4922267400143506,0.49058685275133507,0.46614173228346456
chb03,0.3845063083105352,0.28973107512482005,0.33060312732688013
chb04,0.35854622634161537,0.07011712576508411,0.09635416666666667
chb05,0.589366428283954,0.49213913428409695,0.4327485380116959
chb06,0.5017555535024455,0.1365970348821383,0.13437864455099133
chb07,0.5867733660898153,0.18448735138662004,0.1517217865666553
chb08,0.5637544616393608,0.6294784888222017,0.5807210031347962
chb09,0.5849326747186452,0.24966136647619872,0.20970598653914277
chb10,0.6555892927545441,0.3513570171567316,0.22481012658227847
chb13,0.5464791613154866,0.32578862926683105,0.3191948238677211
chb14,0.5294806840963031,0.576921105686278,0.5297741273100616
chb15,0.5843511085626911,0.15713134530856487,0.14022787028921999
chb16,0.5036680676444283,0.4620004205272862,0.41309523809523807
chb17,0.4370542417417418,0.4794940338611054,0.5362318840579711
chb18,0.4614265553106754,0.4866273324396757,0.458559256390395
chb19,0.6684921763869132,0.5603876666014123,0.383916990920882
chb20,0.5743184484083647,0.5066250619234436,0.40773480662983425
chb22,0.43105605605605607,0.32649236335186604,0.3658838071693449
chb23,0.4572404124457308,0.28157290734479445,0.3055276381909548
chb24,0.5412571872336012,0.3491355706847035,0.3579870377430423
