patient,aucpr_expanding,n_folds,aucpr_single
chb01,0.7964775825296948,1,0.7964775825296948
chb02,0.5910725405913008,3,0.7755100819307992
chb03,0.6965100632157214,2,0.7770467328986801
chb05,0.8055425574338386,3,0.5938841351125995
chb06,0.21706042010209617,2,0.1424000954650868
chb07,0.4235867553425349,2,0.216808113885415
chb08,0.5965504884609746,3,0.6766172349939191
chb09,0.41236468749567495,3,0.2082634444817902
chb10,0.21053140788696914,3,0.16420139356098556
chb14,0.4740619800648515,3,0.5234560097342462
chb16,0.5131479795272437,3,0.3331096910115105
chb17,0.6520553781024189,3,0.7672688133704904
chb18,0.6894048611216181,3,0.5770027177562731
chb19,0.7076648879740023,3,0.9233983923759248
chb20,0.5549138097247764,3,0.11574791198670487
chb23,0.42710129981315914,3,0.43966235167253764
chb24,0.7138919025969699,3,0.6996663599548432
