patient,class,p,n_windows,aic_mean,bic_mean,logdet_mean,mean_var_mean
chb01,preictal,1,30,-2269263.7608173518,-2267144.56935614,-443.42874796197543,2.8575966116205125e-11
chb01,preictal,2,30,-2274198.617248394,-2269960.3609255604,-444.60621673473895,2.9012777630266056e-11
chb01,preictal,3,30,-2274808.683167147,-2268451.4886193885,-444.93896485580365,2.627161027440982e-11
chb01,preictal,5,30,-2278404.277663467,-2267809.586724482,-446.0692624953014,2.282214656849415e-11
chb01,preictal,7,30,-2278013.4453311753,-2263181.7649935335,-446.4207794506502,2.2325259182948663e-11
chb01,preictal,10,30,-2277217.0680803116,-2256030.854906751,-446.90744972217436,2.1483137148102157e-11
chb01,interictal,1,30,-2260725.628780714,-2258606.4373195013,-441.7608182810535,3.303001224688171e-11
chb01,interictal,2,30,-2265872.1865698863,-2261633.9302470526,-442.97932523835226,3.2879551412627836e-11
chb01,interictal,3,30,-2269339.950919181,-2262982.756371423,-443.8702268749621,2.7813082731996847e-11
chb01,interictal,5,30,-2274347.7516945093,-2263753.060755524,-445.27619778973775,2.3857810098640362e-11
chb01,interictal,7,30,-2274422.902648858,-2259591.2223112164,-445.7185414920512,2.3192415715662146e-11
chb01,interictal,10,30,-2274602.275075066,-2253416.061901505,-446.3957485469795,2.191964769767071e-11
chb08,preictal,1,30,-2215502.345222173,-2213383.1537609603,-432.9264202426592,7.851777419332387e-11
chb08,preictal,2,30,-2220594.321035653,-2216356.0647128196,-434.1325363492875,5.669262339155274e-11
chb08,preictal,3,30,-2224560.95355086,-2218203.7590031014,-435.1192013974712,5.009932914971412e-11
chb08,preictal,5,30,-2226790.2719750754,-2216195.58103609,-435.97854779571367,4.514077792981215e-11
chb08,preictal,7,30,-2228862.6568973516,-2214030.9765597107,-436.80787343973236,4.2585904241006115e-11
chb08,preictal,10,30,-2226442.1292079957,-2205255.916034435,-436.9710624673181,4.195863469264618e-11
chb08,interictal,1,30,-2210608.402775745,-2208489.2113145324,-431.9703853830328,8.887217099245696e-11
chb08,interictal,2,30,-2215546.85678274,-2211308.6004599063,-433.1463182459438,5.988106777310462e-11
chb08,interictal,3,30,-2219895.441497965,-2213538.246950207,-434.20743433612756,5.310397358908148e-11
chb08,interictal,5,30,-2222641.561435459,-2212046.8704964737,-435.16746069119444,4.7439242459867244e-11
chb08,interictal,7,30,-2224657.157107903,-2209825.476770262,-435.9853622350682,4.485406583201154e-11
chb08,interictal,10,30,-2222698.8976348513,-2201512.6844612905,-436.23853182678107,4.3835798336801325e-11
chb14,preictal,1,30,-2247853.21995697,-2245734.0284957574,-439.2461847933131,4.0352067611551654e-11
chb14,preictal,2,30,-2240141.8229474663,-2235903.566624632,-437.95189975526887,4.2430126967358585e-11
chb14,preictal,3,30,-2243495.2517043217,-2237138.0571565637,-438.81947463441895,3.59792155801585e-11
chb14,preictal,5,30,-2252445.0190336774,-2241850.3280946924,-440.99413861850974,3.062101812730821e-11
chb14,preictal,7,30,-2251628.508340566,-2236796.828002924,-441.26041626062306,3.0303431618877856e-11
chb14,preictal,10,30,-2248938.148841131,-2227751.9356675707,-441.37341464601394,3.0011086230056126e-11
chb14,interictal,1,30,-2250338.6129172207,-2248219.4214560078,-439.7317079346006,3.8251858060761615e-11
chb14,interictal,2,30,-2243062.239457384,-2238823.98313455,-438.52251650202896,4.059020457562823e-11
chb14,interictal,3,30,-2245755.1772277514,-2239397.982679993,-439.26112511779394,3.4809559355454836e-11
chb14,interictal,5,30,-2254221.617572444,-2243626.9266334595,-441.34146971113273,2.973763037552764e-11
chb14,interictal,7,30,-2253212.509938719,-2238380.8296010774,-441.5702151258984,2.947867863232212e-11
chb14,interictal,10,30,-2250550.8593141683,-2229364.6461406075,-441.68901356441654,2.921105054532094e-11
