patient,mode,auc,auc_pr,sens_window,fpr_h_window,sens_alarm,fpr_h_alarm
chb01,stratified,0.4916,0.1645,0.13851351351351351,55.94594594594595,0.0034,1.2162
chb02,stratified,0.5017,0.1671,0.15202702702702703,53.513513513513516,0.0034,1.2162
chb03,stratified,0.4865,0.1634,0.1373873873873874,59.189189189189186,0.0,1.4595
chb04,stratified,0.5236,0.1747,0.21621621621621623,60.810810810810814,0.0068,1.2162
chb05,stratified,0.4984,0.1662,0.15990990990990991,58.7027027027027,0.0045,1.1351
chb06,stratified,0.4811,0.1674,0.13500482160077146,62.208,0.0019,1.296
chb07,stratified,0.4881,0.1638,0.1348314606741573,57.114606741573034,0.0,1.4562
chb08,stratified,0.5067,0.1687,0.17273954116059378,57.32793522267207,0.0013,1.3603
chb09,stratified,0.5029,0.1675,0.16722972972972974,58.135135135135144,0.0017,1.4595
chb10,stratified,0.5108,0.17,0.19481981981981983,62.35135135135135,0.0056,1.2162
chb13,stratified,0.4908,0.1643,0.14864864864864866,60.16216216216216,0.0045,1.1351
chb14,stratified,0.5058,0.1684,0.17700258397932817,59.53488372093023,0.0039,1.3023
chb15,stratified,0.5119,0.1703,0.190625,60.074999999999996,0.0,1.35
chb16,stratified,0.4971,0.1659,0.16138328530259366,60.17291066282421,0.0029,1.245
chb17,stratified,0.4917,0.1646,0.1463963963963964,58.7027027027027,0.0,0.973
chb18,stratified,0.5007,0.1669,0.15878378378378377,56.675675675675684,0.0034,1.2162
chb19,stratified,0.5196,0.1732,0.19594594594594594,56.432432432432435,0.0034,0.973
chb20,stratified,0.5041,0.1678,0.17073170731707318,58.53658536585366,0.0027,1.3659
chb22,stratified,0.4932,0.1649,0.14527027027027026,57.16216216216217,0.0068,0.7297
chb23,stratified,0.4844,0.163,0.14802631578947367,64.53947368421052,0.0033,1.3026
chb24,stratified,0.5004,0.1784,0.18317358892438765,65.64363300207997,0.0032,1.248
