patient_id,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,alarm_K,alarm_M,refractory_windows,n_preictal,n_interictal,mode
chb01,0.5064,0.1845,0.0068,0.9946,0.2,0.0131,0.5007,1.9459,0.5,5,12,180,296,1480,uniform
chb02,0.4838,0.1651,0.0068,0.9946,0.2,0.0131,0.5007,1.9459,0.5,5,12,180,296,1480,uniform
chb03,0.4965,0.1648,0.0023,0.9937,0.0667,0.0044,0.498,2.2703,0.5,5,12,180,444,2220,uniform
chb04,0.5084,0.1746,0.0034,0.9939,0.1,0.0065,0.4986,2.1892,0.5,5,12,180,296,1480,uniform
chb05,0.5065,0.1742,0.0068,0.9946,0.2,0.0131,0.5007,1.9459,0.5,5,12,180,444,2220,uniform
chb06,0.4918,0.1701,0.0068,0.9946,0.2059,0.0131,0.5007,1.944,0.5,5,12,180,1037,5000,uniform
chb07,0.5204,0.171,0.0067,0.9946,0.2,0.013,0.5007,1.9416,0.5,5,12,180,445,2225,uniform
chb08,0.5001,0.1724,0.0067,0.9946,0.2,0.0131,0.5007,1.9433,0.5,5,12,180,741,3705,uniform
chb09,0.4876,0.1592,0.0034,0.9939,0.1,0.0065,0.4986,2.1892,0.5,5,12,180,592,2960,uniform
chb10,0.5109,0.1751,0.0056,0.9944,0.1667,0.0109,0.5,2.027,0.5,5,12,180,888,4440,uniform
chb13,0.5139,0.168,0.0068,0.9946,0.2,0.0131,0.5007,1.9459,0.5,5,12,180,444,2220,uniform
chb14,0.5062,0.1719,0.0052,0.9943,0.1538,0.01,0.4997,2.0465,0.5,5,12,180,774,3870,uniform
chb15,0.5273,0.1773,0.0031,0.9938,0.0909,0.006,0.4984,2.25,0.5,5,12,180,320,1600,uniform
chb16,0.4783,0.1574,0.0058,0.9942,0.1667,0.0111,0.5,2.0749,0.5,5,12,180,347,1735,uniform
chb17,0.4878,0.1687,0.0045,0.9941,0.1333,0.0087,0.4993,2.1081,0.5,5,12,180,444,2220,uniform
chb18,0.5037,0.1708,0.0051,0.9943,0.15,0.0098,0.4997,2.0676,0.5,5,12,180,592,2960,uniform
chb19,0.5141,0.1678,0.0068,0.9946,0.2,0.0131,0.5007,1.9459,0.5,5,12,180,296,1480,uniform
chb20,0.5093,0.171,0.0054,0.994,0.1538,0.0105,0.4997,2.1463,0.5,5,12,180,369,1845,uniform
chb22,0.5116,0.1823,0.0068,0.9946,0.2,0.0131,0.5007,1.9459,0.5,5,12,180,296,1480,uniform
chb23,0.5231,0.1738,0.0066,0.9947,0.2,0.0127,0.5007,1.8947,0.5,5,12,180,608,3040,uniform
chb24,0.5065,0.1837,0.0032,0.994,0.1034,0.0062,0.4986,2.1632,0.5,5,12,180,939,4327,uniform
