method,auc_mean,auc_pr_mean,skill_mean,skill_std,skill_median
V6 PDC SVM (all bands),0.5695,0.4024,0.0922,0.1336,0.0602
V6 PDC LR (all bands),0.549,0.3888,0.0723,0.1202,0.0368
V6 PDC LR (theta),0.5354,0.3786,0.0528,0.1075,0.0544
V6 PDC XGB (all bands),0.5309,0.3773,0.052,0.115,0.012
V6 PDC LR (delta),0.5258,0.373,0.049,0.1126,0.0318
V6 PDC XGB (beta),0.5226,0.3687,0.0395,0.0802,0.0188
V6 PDC LR (beta),0.4973,0.3627,0.0327,0.1046,-0.0138
V6 PDC XGB (theta),0.5214,0.3624,0.0273,0.086,0.0218
V6 PDC RF (all bands),0.5006,0.3585,0.0239,0.1199,0.0131
V6 PDC XGB (delta),0.494,0.3489,0.0079,0.0797,0.0119
V6 PDC XGB (alpha),0.4834,0.3433,0.004,0.0718,-0.0003
V6 PDC LR (alpha),0.4827,0.3459,0.0009,0.0801,0.0158
V4 LR (graph),0.5721,0.2634,-0.1557,0.2215,-0.1538
V4 XGB (graph),0.528,0.2329,-0.2059,0.2787,-0.207
V3 GC-CNN,0.5224,0.2297,-0.2061,0.2415,-0.1389
V4 RF (graph),0.5374,0.23,-0.2126,0.2731,-0.2117
V5b DANN,0.5436,0.195,-0.2772,0.2723,-0.197
