auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,n_pre,n_int,patient,model,rep
0.3346032688093499,0.11800960859702145,1.0,0.0033783783783783786,0.1671372106154715,0.28640541848089013,0.5016891891891891,358.7837837837838,0.22297967674685165,296,1480,chb01,LR,Net-flow (18d)
0.5451926588750913,0.2318550219577734,0.32432432432432434,0.8439189189189189,0.29357798165137616,0.30818619582664525,0.5841216216216216,56.18918918918919,0.5746938340086264,296,1480,chb02,LR,Net-flow (18d)
0.63562109406704,0.24445459513984402,0.5608108108108109,0.663963963963964,0.25025125628140704,0.34607366226546216,0.6123873873873874,120.97297297297297,0.543662269369844,444,2220,chb03,LR,Net-flow (18d)
0.5863175675675676,0.27004349342563094,0.4560810810810811,0.706081081081081,0.23684210526315788,0.3117782909930716,0.581081081081081,105.81081081081082,0.49225943471606676,296,1480,chb04,LR,Net-flow (18d)
0.5740940264588913,0.20094065034142178,0.8400900900900901,0.2842342342342342,0.19011213047910297,0.3100581878636742,0.5621621621621622,257.6756756756757,0.4532496228636089,444,2220,chb05,LR,Net-flow (18d)
0.6598617164898746,0.27093869496937817,0.6460945033751205,0.6034,0.25254428948360347,0.36314363143631434,0.6247472516875603,142.77599999999998,0.4497436978897151,1037,5000,chb06,LR,Net-flow (18d)
0.5880287842444136,0.21932557736121783,0.8157303370786517,0.3101123595505618,0.19125395152792413,0.3098591549295775,0.5629213483146067,248.35955056179776,0.43615225853230494,445,2225,chb07,LR,Net-flow (18d)
0.6761614406617603,0.2619089081161693,0.6707152496626181,0.6167341430499326,0.25925925925925924,0.3739653875094055,0.6437246963562753,137.9757085020243,0.5046278518719219,741,3705,chb08,LR,Net-flow (18d)
0.5286796932067203,0.1636601015847515,0.6925675675675675,0.4141891891891892,0.1912313432835821,0.29970760233918126,0.5533783783783783,210.8918918918919,0.4483854045369492,592,2960,chb09,LR,Net-flow (18d)
0.6329275221167114,0.28434240308413683,0.46959459459459457,0.7626126126126126,0.28348062542488106,0.3535396354387452,0.6161036036036036,85.45945945945945,0.49602341854746407,888,4440,chb10,LR,Net-flow (18d)
0.5907485187890593,0.21908475594262478,0.7477477477477478,0.3981981981981982,0.19904076738609114,0.3143939393939394,0.572972972972973,216.64864864864865,0.4700382646564257,444,2220,chb13,LR,Net-flow (18d)
0.5488054937937757,0.19694805138925825,0.599483204134367,0.482687338501292,0.18815896188158962,0.28641975308641976,0.5410852713178295,186.2325581395349,0.46213860028286513,774,3870,chb14,LR,Net-flow (18d)
0.456388671875,0.149386626494752,0.0,1.0,0.0,0.0,0.5,0.0,inf,320,1600,chb15,LR,Net-flow (18d)
0.5397138087684475,0.18006058750110304,0.9538904899135446,0.11988472622478386,0.1781485468245425,0.3002267573696145,0.5368876080691642,316.8414985590778,0.353203190232585,347,1735,chb16,LR,Net-flow (18d)
0.6954518707897086,0.3104042101081316,0.6779279279279279,0.6301801801801802,0.26827094474153296,0.384418901660281,0.654054054054054,133.13513513513513,0.524210179224741,444,2220,chb17,LR,Net-flow (18d)
0.6034457176771366,0.26275165703854386,0.33783783783783783,0.8347972972972973,0.29027576197387517,0.312256049960968,0.5863175675675676,59.472972972972975,0.5526533628186426,592,2960,chb18,LR,Net-flow (18d)
0.5493288897005113,0.17664000761142606,0.7635135135135135,0.3452702702702703,0.1891213389121339,0.30315224681421865,0.5543918918918919,235.70270270270274,0.40199679071148564,296,1480,chb19,LR,Net-flow (18d)
0.4998303478969749,0.15597994737361365,0.8157181571815718,0.23848238482384823,0.1764361078546307,0.29012048192771084,0.5271002710027101,274.1463414634146,0.42399483199215926,369,1845,chb20,LR,Net-flow (18d)
0.4745959642074507,0.16704160679738667,0.10135135135135136,0.925,0.2127659574468085,0.13729977116704806,0.5131756756756757,27.000000000000004,0.5914416921764756,296,1480,chb22,LR,Net-flow (18d)
0.584521078601108,0.2061073492939472,0.6282894736842105,0.5108552631578948,0.20438737292669876,0.30843762616067827,0.5695723684210526,176.0921052631579,0.46557868966158783,608,3040,chb23,LR,Net-flow (18d)
0.4579108369986805,0.17272865470679394,0.08945686900958466,0.9272012941992143,0.21052631578947367,0.12556053811659193,0.5083290816043995,26.207534088282877,0.7038052619452142,939,4327,chb24,LR,Net-flow (18d)
