auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,n_pre,n_int,patient,model,rep
0.36446767713659606,0.12204566149064347,0.9898648648648649,0.018243243243243244,0.16781214203894615,0.286973555337904,0.5040540540540541,353.43243243243245,0.057363534361491435,296,1480,chb01,SVM,Net-flow (18d)
0.5179031227173119,0.15670854535221201,0.8513513513513513,0.3581081081081081,0.2096505823627288,0.3364485981308411,0.6047297297297297,231.0810810810811,0.12628751089488632,296,1480,chb02,SVM,Net-flow (18d)
0.7250162324486649,0.3430639348112014,0.6509009009009009,0.713963963963964,0.31277056277056275,0.42251461988304095,0.6824324324324325,102.97297297297297,0.19872886402908335,444,2220,chb03,SVM,Net-flow (18d)
0.5691266435354273,0.17913845664196396,0.6824324324324325,0.625,0.2668428005284016,0.38366571699905033,0.6537162162162162,135.0,0.15001552723403566,296,1480,chb04,SVM,Net-flow (18d)
0.5236151692232773,0.16983469840851997,0.5045045045045045,0.5558558558558558,0.18512396694214875,0.27085852478839173,0.5301801801801802,159.89189189189187,0.16824258110433027,444,2220,chb05,SVM,Net-flow (18d)
0.5948412729026037,0.23502079551905,0.47058823529411764,0.6832,0.23552123552123552,0.313927307816018,0.5768941176470588,114.048,0.18027330069002828,1037,5000,chb06,SVM,Net-flow (18d)
0.5738634010857215,0.23339305219087633,0.3752808988764045,0.7546067415730338,0.23422159887798036,0.28842832469775476,0.5649438202247191,88.34157303370787,0.23784807267483252,445,2225,chb07,SVM,Net-flow (18d)
0.6002178185003669,0.2172438363430133,0.5168690958164642,0.6539811066126856,0.23003003003003003,0.3183707398171238,0.5854251012145749,124.5668016194332,0.1660058566785607,741,3705,chb08,SVM,Net-flow (18d)
0.5267702246165085,0.2199885437292467,0.22128378378378377,0.8841216216216217,0.27637130801687765,0.24577861163227016,0.5527027027027027,41.71621621621622,0.2255451926442114,592,2960,chb09,SVM,Net-flow (18d)
0.5642188641344047,0.19560785547912268,0.44932432432432434,0.6612612612612613,0.20966894377299003,0.2859190254389108,0.5552927927927929,121.94594594594594,0.14242457202471387,888,4440,chb10,SVM,Net-flow (18d)
0.5655638746854963,0.20623022575037445,0.5180180180180181,0.5941441441441442,0.20335985853227231,0.292063492063492,0.5560810810810811,146.1081081081081,0.17405060545745307,444,2220,chb13,SVM,Net-flow (18d)
0.5244002430409498,0.18045602350329185,0.5310077519379846,0.5198966408268734,0.18113706478624944,0.2701281629970424,0.525452196382429,172.8372093023256,0.13278411815314425,774,3870,chb14,SVM,Net-flow (18d)
0.520828125,0.17618512464576735,0.484375,0.58625,0.189718482252142,0.2726473175021987,0.5353125000000001,148.95,0.16442241231419627,320,1600,chb15,SVM,Net-flow (18d)
0.537655823069704,0.20344905230022403,0.43515850144092216,0.6731988472622479,0.21030640668523676,0.2835680751173708,0.5541786743515851,117.64841498559078,0.19691939448332518,347,1735,chb16,SVM,Net-flow (18d)
0.6680961366772178,0.23519938943878055,0.8220720720720721,0.4918918918918919,0.24447421299397187,0.3768714506969541,0.656981981981982,182.9189189189189,0.1502513929626924,444,2220,chb17,SVM,Net-flow (18d)
0.6222105551497443,0.27665728976661835,0.5608108108108109,0.6415540540540541,0.2383345297918162,0.33450881612090677,0.6011824324324324,129.04054054054055,0.17423926836219233,592,2960,chb18,SVM,Net-flow (18d)
0.4669101533966399,0.15167410584362423,0.956081081081081,0.052702702702702706,0.1679525222551929,0.28571428571428575,0.5043918918918918,341.02702702702703,0.05954255378516404,296,1480,chb19,SVM,Net-flow (18d)
0.5277913646345136,0.17931737624853508,0.46612466124661245,0.6086720867208673,0.19239373601789708,0.2723673792557403,0.5373983739837398,140.8780487804878,0.1603929024101365,369,1845,chb20,SVM,Net-flow (18d)
0.5233039627465303,0.16989842715380754,0.8378378378378378,0.24864864864864866,0.18235294117647058,0.29951690821256044,0.5432432432432432,270.4864864864865,0.10726677256948555,296,1480,chb22,SVM,Net-flow (18d)
0.5570729094529085,0.20085097190073578,0.5263157894736842,0.5595394736842105,0.19288728149487644,0.282311424790472,0.5429276315789473,158.56578947368422,0.14024112326427976,608,3040,chb23,SVM,Net-flow (18d)
0.45616092135642833,0.1557624787331202,0.9946751863684771,0.010168708111855789,0.17903009392371094,0.3034437946718648,0.5024219472401664,356.33926507973194,0.07656667260722351,939,4327,chb24,SVM,Net-flow (18d)
