patient,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,best_hp
chb01,0.5813025018261505,0.17834796713615064,0.847972972972973,0.40540540540540543,0.22192749778956675,0.35178696566222845,0.6266891891891893,1.945945945945946,0.2781936041554746,"{""clf__C"": 0.01}"
chb02,0.38659605551497445,0.17371932224852493,0.13851351351351351,0.927027027027027,0.2751677852348993,0.1842696629213483,0.5327702702702702,0.4864864864864865,0.6001714338950862,"{""clf__C"": 0.01}"
chb03,0.6214684278873468,0.23582918374093123,0.5495495495495496,0.6225225225225225,0.2255083179297597,0.31979030144167764,0.586036036036036,2.108108108108108,0.47018142368218696,"{""clf__C"": 0.01}"
chb04,0.57389746165084,0.21499523839709592,0.918918918918919,0.19797297297297298,0.1864290610006854,0.30997150997150996,0.558445945945946,1.945945945945946,0.23517479779042252,"{""clf__C"": 0.01}"
chb05,0.5086975489002517,0.16258193873595778,0.759009009009009,0.3063063063063063,0.1795418220564731,0.29039207238259374,0.5326576576576576,1.9459459459459458,0.39775578691554486,"{""clf__C"": 0.01}"
chb06,0.5277452266152363,0.18216680951214576,0.6740597878495661,0.402,0.1894822445107075,0.2958104104951333,0.5380298939247831,1.944,0.47771232260797697,"{""clf__C"": 0.01}"
chb07,0.656237343769726,0.27661071020626726,0.6719101123595506,0.5667415730337079,0.2367379255740301,0.35011709601873536,0.6193258426966293,1.9415730337078652,0.4850795003163412,"{""clf__C"": 0.01}"
chb08,0.5289214623096202,0.4619199877435666,0.941970310391363,0.140625,0.47547683923705725,0.6319601629696695,0.5412976551956815,2.4107142857142856,0.4149789010317856,"{""clf__C"": 0.01}"
chb09,0.6291002784879474,0.2101203782898377,0.7972972972972973,0.43885135135135134,0.22128457571495547,0.3464220183486239,0.6180743243243243,1.8243243243243246,0.28613281295195553,"{""clf__C"": 0.01}"
chb10,0.5939739570651733,0.22627190233777172,0.5304054054054054,0.686036036036036,0.2525469168900804,0.34217217580820924,0.6082207207207206,1.135135135135135,0.5062173805743,"{""clf__C"": 0.01}"
chb13,0.6079823066309553,0.24991266882232052,0.8355855855855856,0.33513513513513515,0.20086626962642123,0.32387603666521175,0.5853603603603603,2.108108108108108,0.44101911700439944,"{""clf__C"": 0.01}"
chb14,0.599021163705498,0.3485125775672022,0.6317829457364341,0.5228322216521293,0.34460887949260044,0.44596443228454175,0.5773075836942817,2.2165212929707545,0.4304727640579288,"{""clf__C"": 0.01}"
chb15,0.466617298578199,0.31453064402737885,0.009375,0.9921011058451816,0.375,0.018292682926829264,0.5007380529225908,0.0,0.7000021266365095,"{""clf__C"": 0.01}"
chb16,0.44309644627893263,0.14471234616953965,0.9740634005763689,0.04553314121037464,0.16950852557673018,0.2887654848355404,0.5097982708933717,2.07492795389049,0.2925257374132401,"{""clf__C"": 0.01}"
chb17,0.6933233909585261,0.3102397526520644,0.6036036036036037,0.7265765765765766,0.3062857142857143,0.40636846095526913,0.6650900900900901,1.7837837837837838,0.5835499948450935,"{""clf__C"": 0.01}"
chb18,0.6811158920745068,0.37529402716185883,0.5523648648648649,0.7733108108108108,0.3276553106212425,0.4113207547169811,0.6628378378378379,1.5810810810810811,0.5651314056065742,"{""clf__C"": 0.01}"
chb19,0.6907596785975164,0.2822042824751667,0.6824324324324325,0.6054054054054054,0.25699745547073793,0.3733826247689464,0.643918918918919,1.945945945945946,0.36865379898062206,"{""clf__C"": 0.01}"
chb20,0.6741269526516405,0.2640223480645843,0.6937669376693767,0.586449864498645,0.2512266928361138,0.3688760806916427,0.6401084010840108,2.1463414634146343,0.5394234393928362,"{""clf__C"": 0.01}"
chb22,0.6189417457998538,0.26713290671720835,0.42567567567567566,0.7763513513513514,0.27571115973741794,0.3346613545816733,0.6010135135135135,1.4594594594594597,0.4889145116748314,"{""clf__C"": 0.01}"
chb23,0.4295830808518006,0.1384240758921801,0.9901315789473685,0.015789473684210527,0.16750139120756816,0.2865302237029986,0.5029605263157895,2.013157894736842,0.1729125544203798,"{""clf__C"": 0.01}"
chb24,0.501411532331989,0.5137441696015348,0.14802981895633652,0.9334006054490414,0.6780487804878049,0.243006993006993,0.5407152122026889,0.7265388496468214,0.900066846961678,"{""clf__C"": 0.01}"
MEAN,0.5721,0.2634,0.637,0.5241,0.277,0.3297,0.5805,1.7021,,
STD,0.0905,0.0991,0.2736,0.285,0.1193,0.1128,0.0525,0.6175,,
