patient,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,best_hp
chb01,0.6597653396639882,0.20499140727389303,0.8716216216216216,0.5243243243243243,0.2681912681912682,0.41017488076311603,0.6979729729729729,1.7027027027027029,0.3926802142418859,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 1}"
chb02,0.6133354638422207,0.21046462667396845,0.8581081081081081,0.4006756756756757,0.22261174408413673,0.3535142658315937,0.6293918918918919,2.4324324324324325,0.2214658837015438,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 5}"
chb03,0.3554033763493223,0.12037037931863917,0.954954954954955,0.12342342342342343,0.17890295358649788,0.30135039090262966,0.5391891891891892,2.27027027027027,0.25097184317813637,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 5}"
chb04,0.38108564645726806,0.1513930413169617,0.9898648648648649,0.02972972972972973,0.16946211683053788,0.2893827160493827,0.5097972972972973,1.945945945945946,0.060600388220557154,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 5}"
chb05,0.40628804480155833,0.13443851647299984,0.0,1.0,0.0,0.0,0.5,0.0,inf,"{""clf__max_depth"": 16, ""clf__min_samples_leaf"": 1}"
chb06,0.6002511089681773,0.22577606806901512,0.6586306653809064,0.5012,0.21498268807050677,0.3241575700047461,0.5799153326904531,1.8719999999999999,0.45449498029064717,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 1}"
chb07,0.6467193536169675,0.2524098155077069,0.8449438202247191,0.3919101123595506,0.21746674378253325,0.3459061637534499,0.6184269662921349,1.9415730337078652,0.41011702189547283,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 1}"
chb08,0.6617866782340466,0.5578424546835026,0.8259109311740891,0.42299107142857145,0.54207263064659,0.6545454545454547,0.6244510013013302,1.6071428571428572,0.33567330282693697,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 5}"
chb09,0.5193041225346968,0.16204288913305065,0.8918918918918919,0.1777027027027027,0.17825793382849425,0.297129994372538,0.5347972972972973,1.945945945945946,0.1770164997582467,"{""clf__max_depth"": 16, ""clf__min_samples_leaf"": 5}"
chb10,0.6506579214349484,0.24556251926668504,0.6441441441441441,0.6157657657657658,0.2510974539069359,0.361339229311434,0.629954954954955,1.5405405405405406,0.46797024558348765,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 1}"
chb13,0.5265826637448259,0.16713350712949276,0.8333333333333334,0.2585585585585586,0.18353174603174602,0.3008130081300813,0.5459459459459459,2.108108108108108,0.4458845255377119,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 5}"
chb14,0.533312650892328,0.30756723614995574,0.3979328165374677,0.6654694715238584,0.32083333333333336,0.3552479815455594,0.531701144030663,1.8471010774756287,0.40469021138497724,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 1}"
chb15,0.5351747630331753,0.35442318768270165,0.58125,0.4976303317535545,0.36904761904761907,0.45145631067961167,0.5394401658767772,1.7061611374407584,0.37317574020716476,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 1}"
chb16,0.4008089096330008,0.14253567602447734,0.008645533141210375,0.9953890489913545,0.2727272727272727,0.016759776536312852,0.5020172910662825,0.0,0.43333333333333335,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 1}"
chb17,0.4381645158672186,0.14187089581124246,0.9009009009009009,0.131981981981982,0.17189514396218306,0.288704438830747,0.5164414414414414,2.108108108108108,0.35236294954695596,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 1}"
chb18,0.461405736395179,0.14949320949559447,0.9864864864864865,0.03547297297297297,0.16981680721139866,0.28975440337385266,0.5109797297297297,1.945945945945946,0.02084272069336624,"{""clf__max_depth"": 16, ""clf__min_samples_leaf"": 1}"
chb19,0.7255273009495982,0.25702867584225353,0.8918918918918919,0.5087837837837837,0.26639757820383453,0.41025641025641024,0.7003378378378378,1.945945945945946,0.3669517565191022,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 1}"
chb20,0.579471361109275,0.1903404110380571,0.7940379403794038,0.33766937669376695,0.19339933993399339,0.31104033970276007,0.5658536585365854,2.1463414634146343,0.4633579589176724,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 5}"
chb22,0.587413257852447,0.2248537049819953,0.44932432432432434,0.7324324324324324,0.2514177693761815,0.3224242424242425,0.5908783783783784,1.7027027027027029,0.5224517683175539,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 1}"
chb23,0.5224517399584488,0.15849067619620377,0.8075657894736842,0.3078947368421053,0.18921001926782274,0.30658757414923504,0.5577302631578948,1.894736842105263,0.31910515838934755,"{""clf__max_depth"": 16, ""clf__min_samples_leaf"": 1}"
chb24,0.48065174429288515,0.47026727119897666,0.28753993610223644,0.7235116044399597,0.4963235294117647,0.3641267700606879,0.505525770271098,2.179616548940464,0.5276077022483853,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 5}"
MEAN,0.5374,0.23,0.6895,0.4468,0.2442,0.3217,0.5681,1.7544,,
STD,0.1043,0.1126,0.2986,0.2783,0.1165,0.1324,0.0613,0.6231,,
