patient,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,best_hp
chb01,0.5545014609203798,0.16480947785991001,0.902027027027027,0.3560810810810811,0.21885245901639344,0.3522427440633245,0.629054054054054,1.7027027027027029,0.03573478248963077,"{""clf__C"": 0.1}"
chb02,0.45076013513513513,0.16055267541153134,0.9222972972972973,0.1804054054054054,0.18371467025572005,0.3063973063973064,0.5513513513513513,2.4324324324324325,0.08424877292754995,"{""clf__C"": 0.1}"
chb03,0.5392794821848876,0.18612602373802994,0.3716216216216216,0.7382882882882883,0.22117962466487937,0.27731092436974786,0.554954954954955,1.4594594594594594,0.1613883498527253,"{""clf__C"": 0.1}"
chb04,0.5177661614317021,0.1593795194808798,0.7972972972972973,0.4540540540540541,0.2260536398467433,0.3522388059701492,0.6256756756756756,1.945945945945946,0.06830425449637204,"{""clf__C"": 1.0}"
chb05,0.5011829396964532,0.15756682281590256,0.6396396396396397,0.41396396396396395,0.17917981072555206,0.2799408575653031,0.5268018018018018,1.9459459459459458,0.15380013811592883,"{""clf__C"": 0.1}"
chb06,0.4462998071359691,0.14617120366321723,0.9990356798457087,0.0016,0.17186463171864633,0.2932767162066525,0.5003178399228544,2.016,0.009184512342939094,"{""clf__C"": 1.0}"
chb07,0.601195808610024,0.2490731633414245,0.6067415730337079,0.5469662921348315,0.2112676056338028,0.3134068485200232,0.5768539325842696,1.7797752808988765,0.14236990769562535,"{""clf__C"": 0.1}"
chb08,0.5782545305571621,0.5066950256323042,0.680161943319838,0.47098214285714285,0.5153374233128835,0.5863874345549739,0.5755720430884904,1.6071428571428572,0.1071148564272194,"{""clf__C"": 10.0}"
chb09,0.46448765065741415,0.14396303069948452,0.8834459459459459,0.15844594594594594,0.17352355673523556,0.2900721020521353,0.5209459459459459,1.945945945945946,0.025861367784420032,"{""clf__C"": 0.1}"
chb10,0.6418847901956011,0.2272038563926762,0.6509009009009009,0.6078828828828828,0.2492453643811988,0.3604614904895541,0.6293918918918919,1.5405405405405406,0.0731335744332834,"{""clf__C"": 1.0}"
chb13,0.49257923464004544,0.1578519282718059,0.8581081081081081,0.22567567567567567,0.18142857142857144,0.29952830188679247,0.5418918918918919,1.9459459459459458,0.0954658073095101,"{""clf__C"": 0.1}"
chb14,0.5806350039707635,0.3304441535678501,0.7777777777777778,0.3550538737814264,0.32383001613770845,0.457273072540828,0.5664158257796021,2.4012314007183173,0.07032789899673365,"{""clf__C"": 0.1}"
chb15,0.4447521721958926,0.32960603144234035,0.1125,0.9352290679304898,0.4675324675324675,0.181360201511335,0.5238645339652449,0.5687203791469194,0.21399457870913421,"{""clf__C"": 0.1}"
chb16,0.4226677407834962,0.15236391961643134,0.26512968299711814,0.7573487031700288,0.1793372319688109,0.21395348837209302,0.5112391930835735,1.659942363112392,0.34272786109750597,"{""clf__C"": 0.1}"
chb17,0.5018520209398588,0.1591889943953653,0.7342342342342343,0.3153153153153153,0.17659804983748645,0.2847161572052402,0.5247747747747749,2.108108108108108,0.11195986405409362,"{""clf__C"": 1.0}"
chb18,0.5876897484477721,0.24408469007171887,0.3614864864864865,0.825,0.2923497267759563,0.3232628398791541,0.5932432432432433,1.2162162162162162,0.25566582108650965,"{""clf__C"": 0.1}"
chb19,0.5864727903579255,0.21662072244284447,0.7094594594594594,0.42162162162162165,0.19699812382739212,0.30837004405286345,0.5655405405405405,1.945945945945946,0.05973338350539294,"{""clf__C"": 0.1}"
chb20,0.5537319790542078,0.18233028890652891,0.6829268292682927,0.45420054200542004,0.20015885623510724,0.30958230958230964,0.5685636856368563,2.1463414634146343,0.20465449483823583,"{""clf__C"": 0.1}"
chb22,0.5815113677867056,0.22371987488394957,0.40202702702702703,0.7391891891891892,0.23564356435643563,0.29712858926342073,0.5706081081081081,1.7027027027027029,0.2314223213910667,"{""clf__C"": 0.1}"
chb23,0.4993066676765928,0.1579551296033937,0.8930921052631579,0.14144736842105263,0.17221693625118933,0.28875299122573783,0.5172697368421052,2.013157894736842,0.10797927548708651,"{""clf__C"": 0.1}"
chb24,0.47177956238736485,0.4704301791189712,0.9733759318423855,0.05146316851664985,0.4929881337648328,0.6544933762978875,0.5124195501795177,2.179616548940464,0.032776034925430984,"{""clf__C"": 1.0}"
MEAN,0.5247,0.2251,0.6773,0.4357,0.2509,0.3348,0.5565,1.8221,,
STD,0.0617,0.1034,0.2467,0.2616,0.1086,0.1095,0.0395,0.4138,,
