patient,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,best_hp
chb01,0.6335943206720234,0.19729996447671364,0.9324324324324325,0.3945945945945946,0.2354948805460751,0.3760217983651227,0.6635135135135135,1.7027027027027029,0.03207283467054367,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 5}"
chb02,0.347895361577794,0.144714463250196,0.013513513513513514,0.9979729729729729,0.5714285714285714,0.026402640264026406,0.5057432432432433,0.0,0.4930090308189392,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3}"
chb03,0.44308294781267754,0.13886200411446012,0.9009009009009009,0.1918918918918919,0.18231540565177756,0.30326004548900676,0.5463963963963964,2.108108108108108,0.02366715483367443,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 5}"
chb04,0.3891823411249087,0.13222802878415252,0.9831081081081081,0.029054054054054056,0.1684027777777778,0.2875494071146245,0.5060810810810811,1.945945945945946,0.004562073387205601,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 7}"
chb05,0.46158185212239267,0.14843583551679002,0.8333333333333334,0.1752252252252252,0.16810540663334847,0.27977315689981097,0.5042792792792793,1.9459459459459458,0.06848416477441788,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 7}"
chb06,0.5884333654773385,0.21965867323088129,0.6345226615236258,0.5104,0.21184803605924019,0.3176442191648564,0.5724613307618129,2.016,0.19461216032505035,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3}"
chb07,0.6868834743087994,0.28997964070237303,0.6112359550561798,0.6476404494382022,0.25757575757575757,0.3624250499666889,0.6294382022471909,1.7797752808988765,0.1578260064125061,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3}"
chb08,0.6472144905533063,0.5876782486794607,0.6045883940620783,0.609375,0.5614035087719298,0.5821962313190384,0.6069816970310391,1.6071428571428572,0.29159584641456604,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 7}"
chb09,0.43478245982468955,0.13829849355291596,0.9847972972972973,0.04628378378378378,0.17116852613035818,0.2916458229114557,0.5155405405405405,1.945945945945946,0.011625128798186779,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 7}"
chb10,0.6353258664069475,0.2349204437973118,0.6204954954954955,0.6056306306306306,0.23935708079930496,0.34545454545454546,0.6130630630630631,1.3783783783783783,0.0953075960278511,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 7}"
chb13,0.543679490301112,0.17826214804873908,0.9009009009009009,0.19684684684684683,0.1832340815391663,0.30452988199467074,0.5488738738738739,2.108108108108108,0.10333132743835449,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 5}"
chb14,0.5939327528991877,0.36002011278766544,0.6124031007751938,0.5489994869163674,0.35033259423503327,0.44569816643159377,0.5807012938457805,2.2165212929707545,0.06611061841249466,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 7}"
chb15,0.5137860387045813,0.34162538835740053,0.515625,0.5323854660347551,0.3579175704989154,0.4225352112676056,0.5240052330173776,2.843601895734597,0.11498410999774933,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3}"
chb16,0.42776370537086095,0.16777295390784736,0.04610951008645533,0.9775216138328531,0.2909090909090909,0.07960199004975124,0.5118155619596542,0.0,0.5106607675552368,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 5}"
chb17,0.45376592809025246,0.14400480716881425,0.963963963963964,0.05225225225225225,0.16903633491311215,0.2876344086021505,0.5081081081081081,2.108108108108108,0.0868094339966774,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3}"
chb18,0.4669272735573411,0.15382944960586115,0.9983108108108109,0.009121621621621622,0.1677071509648127,0.28717201166180756,0.5037162162162162,1.945945945945946,0.0010020850459113717,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 5}"
chb19,0.6490047479912345,0.22817915410433764,0.8209459459459459,0.4412162162162162,0.22710280373831776,0.355783308931186,0.6310810810810811,1.945945945945946,0.09106562286615372,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3}"
chb20,0.5289708506841166,0.1729110476205893,0.7235772357723578,0.34254742547425476,0.1804054054054054,0.2888047593293672,0.5330623306233062,2.1463414634146343,0.12193506956100464,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 7}"
chb22,0.5879884952520088,0.21241460355609354,0.7837837837837838,0.3641891891891892,0.1977834612105712,0.3158611300204221,0.5739864864864865,1.945945945945946,0.14422844350337982,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3}"
chb23,0.542956306267313,0.18902090827938833,0.8486842105263158,0.22171052631578947,0.17904233171408743,0.295702005730659,0.5351973684210527,2.013157894736842,0.166362002491951,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3}"
chb24,0.5109220470926302,0.5107054872794315,0.22577209797657083,0.8183652875882946,0.5408163265306123,0.318557475582269,0.5220686927824327,1.089808274470232,0.41494032740592957,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 5}"
MEAN,0.528,0.2329,0.6933,0.4149,0.2672,0.3131,0.5541,1.7521,,
STD,0.095,0.1237,0.2923,0.2975,0.134,0.1124,0.0496,0.6726,,
