patient,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour
chb01,0.40958957268078894,0.1310338683034698,0.5,0.3783783783783784,0.13857677902621723,0.21700879765395895,0.4391891891891892,223.7837837837838
chb02,0.4345507669831994,0.20997703668827428,0.5,0.3581081081081081,0.13479052823315119,0.21233859397417504,0.42905405405405406,231.0810810810811
chb03,0.35382984335687034,0.12295784158594007,0.5,0.2855855855855856,0.12278761061946902,0.19715808170515098,0.3927927927927928,257.18918918918916
chb04,0.5479478634039445,0.17630382924918472,0.5,0.5601351351351351,0.18523153942428036,0.27031963470319637,0.5300675675675676,158.35135135135135
chb05,0.4982854476097719,0.19517702061174927,0.5022522522522522,0.43018018018018017,0.14986559139784947,0.23084886128364387,0.46621621621621623,205.13513513513513
chb06,0.516650337512054,0.18035291126747732,0.5014464802314368,0.5284,0.18068102849200834,0.2656449553001277,0.5149232401157184,169.77599999999998
chb07,0.6599156672137357,0.27300268346042056,0.501123595505618,0.7065168539325842,0.2545662100456621,0.3376230128690386,0.6038202247191011,105.65393258426967
chb08,0.650063651810935,0.2319722689827411,0.5006747638326585,0.7017543859649122,0.2513550135501355,0.33468651330626975,0.6012145748987854,107.36842105263159
chb09,0.37221968590211835,0.12891178318721916,0.5016891891891891,0.30777027027027026,0.1265984654731458,0.2021783526208305,0.4047297297297297,249.20270270270274
chb10,0.5523634698888077,0.1862534973201629,0.5,0.5826576576576576,0.19329560296038312,0.2788069073783359,0.5413288288288288,150.24324324324323
chb13,0.5505072640207775,0.19355975997841995,0.5022522522522522,0.5558558558558558,0.18444995864350702,0.26981246218995764,0.529054054054054,159.89189189189187
chb14,0.5039307199754288,0.17032254250155612,0.5,0.51343669250646,0.17048458149779736,0.2542706964520368,0.50671834625323,175.1627906976744
chb15,0.4528720703125,0.15504302048755425,0.5,0.458125,0.15579357351509251,0.23756495916852266,0.4790625,195.075
chb16,0.5502196679650192,0.2252601467114628,0.5014409221902018,0.5579250720461095,0.1849096705632306,0.27018633540372666,0.5296829971181556,159.14697406340056
chb17,0.6221512052593133,0.20588980321236286,0.5,0.6351351351351351,0.21511627906976744,0.3008130081300813,0.5675675675675675,131.35135135135135
chb18,0.5248128195763331,0.1908443953626059,0.5,0.5692567567567568,0.1884150222788033,0.2736939435968562,0.5346283783783784,155.06756756756758
chb19,0.4453478816654492,0.15165833524457517,0.5,0.48445945945945945,0.16245883644346873,0.24523612261806133,0.4922297297297297,185.5945945945946
chb20,0.38653065121437125,0.12856407900013533,0.5013550135501355,0.33279132791327914,0.1306497175141243,0.20728291316526606,0.4170731707317073,240.1951219512195
chb22,0.6153065650109569,0.2923386232460851,0.5,0.7243243243243244,0.26618705035971224,0.3474178403755869,0.6121621621621622,99.24324324324326
chb23,0.5981080115997229,0.21317117377042882,0.5,0.6243421052631579,0.21023513139695713,0.29600778967867575,0.562171052631579,135.23684210526315
chb24,0.45897383076223713,0.1562839112626855,0.5005324813631523,0.44557430090131733,0.16382014639247125,0.24684873949579836,0.4730533911322348,199.59325167552578
MEAN,0.5097,0.1866,0.5006,0.5115,0.1795,0.2617,0.506,175.8735
STD,0.0908,0.0455,0.0008,0.131,0.0418,0.0442,0.0654,47.144
