patient,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour
chb01,0.3479033509861212,0.11881016381080765,0.5,0.32837837837837835,0.1295971978984238,0.2058414464534075,0.4141891891891892,241.7837837837838
chb02,0.5259016617969321,0.2554164753665117,0.5,0.5263513513513514,0.17432273262661954,0.25851528384279476,0.5131756756756757,170.51351351351352
chb03,0.4453899845791738,0.13919349247616752,0.5,0.3995495495495496,0.14276527331189712,0.2221110555277639,0.4497747747747748,216.16216216216216
chb04,0.6267279948867787,0.20064389256208787,0.5,0.6466216216216216,0.22056631892697467,0.30610134436401243,0.5733108108108108,127.21621621621622
chb05,0.513181762843925,0.18612725233112942,0.5,0.4797297297297297,0.16122004357298475,0.2438220757825371,0.48986486486486486,187.2972972972973
chb06,0.560429893924783,0.20109424085317135,0.5004821600771456,0.569,0.19409124906507105,0.27970897332255457,0.5347410800385728,155.16
chb07,0.5781219542986996,0.2023895841136758,0.501123595505618,0.6107865168539326,0.20477502295684114,0.2907431551499348,0.5559550561797753,140.11685393258426
chb08,0.667697115726095,0.22757096029634574,0.5006747638326585,0.6958164642375169,0.24766355140186916,0.331397945511389,0.5982456140350877,109.50607287449394
chb09,0.6416835966033602,0.22227786404722036,0.5,0.6760135135135135,0.2358565737051793,0.32051976177585273,0.5880067567567567,116.63513513513514
chb10,0.6087437099261424,0.2200716143498564,0.5,0.661036036036036,0.22780913288866086,0.31300669721536833,0.5805180180180181,122.02702702702702
chb13,0.5461934907880854,0.1850488788837017,0.5,0.5162162162162162,0.1712962962962963,0.25517241379310346,0.508108108108108,174.16216216216216
chb14,0.5089329233686544,0.17383056232705468,0.5012919896640827,0.5103359173126615,0.16995181778361804,0.2538436375531567,0.5058139534883721,176.27906976744185
chb15,0.58405859375,0.18480960171630412,0.503125,0.62375,0.21100917431192662,0.29732225300092335,0.5634375,135.45
chb16,0.5606989510750857,0.20255861111625575,0.5014409221902018,0.614985590778098,0.20665083135391923,0.2926829268292683,0.5582132564841499,138.60518731988472
chb17,0.5917468143819495,0.1897013305337052,0.5,0.6162162162162163,0.20670391061452514,0.2924901185770751,0.5581081081081081,138.16216216216216
chb18,0.4983342083637692,0.1660371713307588,0.5,0.48952702702702705,0.16380741560597675,0.2467694872863693,0.49476351351351355,183.7702702702703
chb19,0.6653853177501826,0.2885727312880926,0.5,0.7709459459459459,0.30390143737166325,0.3780332056194125,0.6354729729729729,82.45945945945947
chb20,0.3547506260970469,0.12083833299597856,0.5013550135501355,0.3051490514905149,0.12610770279481937,0.20152505446623092,0.40325203252032515,250.14634146341464
chb22,0.6002784879474069,0.27453016075130704,0.5,0.720945945945946,0.2638146167557932,0.3453908984830805,0.610472972972973,100.45945945945947
chb23,0.580956760734072,0.19673357364656086,0.5,0.5898026315789474,0.19600257898130238,0.28161185734136174,0.5449013157894738,147.67105263157893
chb24,0.4078252240371957,0.13915255022523734,0.5005324813631523,0.4005084354055928,0.15339425587467362,0.23482388208843366,0.45052045838437255,215.81696325398661
MEAN,0.5436,0.195,0.5005,0.5596,0.1958,0.2786,0.53,158.5429
STD,0.0916,0.045,0.0008,0.1266,0.0451,0.0458,0.0633,45.5735
