patient,model,auc,auc_pr,threshold,sens_window,spec_window,fpr_h_window,sens_alarm,spec_alarm,fpr_h_alarm
chb01,LR,0.8157,0.5685,0.41999999999999993,0.6418918918918919,0.8042430086788814,70.47251687560271,0.0068,0.9981,0.6943
chb02,LR,0.4707,0.5093,0.6799999999999999,0.07094594594594594,0.967551622418879,11.68141592920354,0.0034,1.0,0.0
chb03,LR,0.4789,0.3459,0.5599999999999999,0.25900900900900903,0.7652947719688543,84.49388209121246,0.0023,0.9978,0.8009
chb04,LR,0.3608,0.1216,0.36999999999999994,0.02364864864864865,0.9858108108108108,5.108108108108109,0.0068,0.9973,0.973
chb05,LR,0.5441,0.4312,0.6399999999999999,0.8626126126126126,0.23195876288659795,276.49484536082474,0.0023,0.9983,0.6186
chb06,LR,0.5939,0.2204,0.62,0.46673095467695275,0.6394,129.816,0.0019,0.9978,0.792
chb07,LR,0.5194,0.1583,0.6399999999999999,0.9550561797752809,0.1258426966292135,314.69662921348316,0.0022,0.9978,0.809
chb08,LR,0.7136,0.7673,0.7899999999999999,0.680161943319838,0.5551401869158878,160.14953271028037,0.0054,1.0,0.0
chb09,LR,0.5243,0.2094,0.57,0.714527027027027,0.34827431645002244,234.62124607799194,0.0017,0.9973,0.9682
chb10,LR,0.7957,0.4391,0.8499999999999999,0.7240990990990991,0.6564337034617896,123.68386675375571,0.0068,0.9974,0.9406
chb13,LR,0.665,0.4464,0.74,0.6936936936936937,0.5110876451953538,176.00844772967264,0.0045,0.9979,0.7603
chb14,LR,0.6716,0.7027,0.5099999999999999,0.3242894056847545,0.834061135371179,59.737991266375545,0.0039,0.9985,0.524
chb15,LR,0.6698,0.2517,0.6499999999999999,0.621875,0.560625,158.17499999999998,0.0031,0.9975,0.9
chb16,LR,0.3744,0.3299,0.69,0.0,0.9939148073022313,2.1906693711967544,0.0029,0.998,0.7302
chb17,LR,0.5083,0.5117,0.5199999999999999,0.8108108108108109,0.2838541666666667,257.8125,0.0068,0.9974,0.9375
chb18,LR,0.5789,0.5694,0.57,0.4814189189189189,0.6294706723891274,133.39055793991417,0.0034,0.9986,0.515
chb19,LR,0.6947,0.5911,0.35999999999999993,0.543918918918919,0.6357894736842106,131.1157894736842,0.0068,0.9979,0.7579
chb20,LR,0.6265,0.5178,0.59,0.5799457994579946,0.6305970149253731,132.98507462686567,0.0054,0.9981,0.6716
chb22,LR,0.3822,0.2897,0.69,0.0,0.9980506822612085,0.7017543859649122,0.0,0.9981,0.7018
chb23,LR,0.3558,0.2337,0.71,0.001644736842105263,0.9992764109985528,0.26049204052098407,0.0,0.9978,0.7815
chb24,LR,0.6082,0.4409,0.6799999999999999,0.549520766773163,0.5760095011876485,152.63657957244655,0.0011,0.9976,0.8551
