patient,model,auc,auc_pr,threshold,sens_window,spec_window,fpr_h_window,sens_alarm,spec_alarm,fpr_h_alarm
chb01,SVM,0.8064,0.5416,0.29,0.6858108108108109,0.7714561234329798,82.27579556412729,0.0068,0.9981,0.6943
chb02,SVM,0.4896,0.483,0.49999999999999994,0.9628378378378378,0.07669616519174041,332.3893805309735,0.0,1.0,0.0
chb03,SVM,0.4638,0.3124,0.38999999999999996,0.36486486486486486,0.6540600667408232,124.53837597330367,0.0023,0.9978,0.8009
chb04,SVM,0.4027,0.1571,0.24,0.14189189189189189,0.8945945945945946,37.94594594594595,0.0068,0.9973,0.973
chb05,SVM,0.5702,0.5235,0.26999999999999996,0.3783783783783784,0.761168384879725,85.97938144329896,0.0068,0.9983,0.6186
chb06,SVM,0.6518,0.2403,0.30999999999999994,0.6962391513982642,0.4508,197.712,0.0039,0.9974,0.936
chb07,SVM,0.6422,0.2458,0.43999999999999995,0.7168539325842697,0.4373033707865169,202.57078651685393,0.0022,0.9978,0.809
chb08,SVM,0.754,0.8034,0.4799999999999999,0.7908232118758435,0.5102803738317757,176.29906542056074,0.0067,0.9981,0.6729
chb09,SVM,0.6452,0.3098,0.35999999999999993,0.8327702702702703,0.36665172568355,228.00537875392203,0.0051,0.9973,0.9682
chb10,SVM,0.7625,0.54,0.4499999999999999,0.6599099099099099,0.7080339647289353,105.10777269758327,0.0045,0.9974,0.9406
chb13,SVM,0.7376,0.5162,0.58,0.8085585585585585,0.5015839493136219,179.4297782470961,0.0068,0.9979,0.7603
chb14,SVM,0.6395,0.6426,0.26999999999999996,0.8423772609819121,0.31004366812227074,248.3842794759825,0.0065,0.9985,0.524
chb15,SVM,0.5796,0.2466,0.42999999999999994,0.35625,0.7625,85.5,0.0031,0.9981,0.675
chb16,SVM,0.3335,0.3265,0.5299999999999999,0.0,1.0,0.0,0.0029,0.998,0.7302
chb17,SVM,0.5481,0.5341,0.4799999999999999,0.8648648648648649,0.2578125,267.1875,0.0023,0.9974,0.9375
chb18,SVM,0.639,0.5663,0.33999999999999997,0.6216216216216216,0.5536480686695279,160.68669527896995,0.0051,0.9986,0.515
chb19,SVM,0.4864,0.3454,0.3,0.8108108108108109,0.25473684210526315,268.2947368421053,0.0,0.9979,0.7579
chb20,SVM,0.6625,0.6559,0.5499999999999999,0.4823848238482385,0.7238805970149254,99.40298507462687,0.0054,1.0,0.0
chb22,SVM,0.4172,0.3055,0.4599999999999999,0.0,1.0,0.0,0.0,0.9981,0.7018
chb23,SVM,0.391,0.2454,0.49999999999999994,1.0,0.000723589001447178,359.739507959479,0.0,0.9978,0.7815
chb24,SVM,0.6626,0.4385,0.5099999999999999,0.8562300319488818,0.3996437054631829,216.12826603325414,0.0021,0.9976,0.8551
